gbifID,decimalLatitude,decimalLongitude,eventDate
668805576,46.813056,-71.203056,1933-05-01/1933-05-31
5154205102,49.014835,-119.458435,2025-05-07T13:07
5153700020,49.019375,-119.443275,2025-05-07T12:14
5153556938,49.014992,-119.454239,2025-05-07T11:09
5153378183,24.758775,-107.463869,2025-04-25T15:36
5140518487,33.666894,-117.84299,2025-04-26T09:20
5110425499,43.224281,-79.171533,2024-09-22T16:20:58.588Z
5110409377,43.211375,-79.135047,2024-09-22T19:03:36.356Z
5110406992,38.428794,-122.556183,2024-07-18T15:23:17Z
5110285214,33.967998,-117.678402,2024-06-08T09:58:26Z
5110064259,32.820422,-116.948456,2024-06-27T20:11:12Z
5109842261,33.970333,-116.966818,2023-08-19T13:57:29Z
5109841924,47.265922,-122.228638,2023-08-17T21:57:28.957Z
5109717169,33.970324,-116.966808,2023-08-19T13:59:04Z
5109630371,33.858677,-118.126643,2023-05-14T21:53:58.990Z
5109340885,38.521912,-122.758574,2022-08-08T17:56:49Z
5109270983,35.066486,-119.064514,2021-06-28T07:06:29Z
5109240043,45.338521,-123.049441,2021-07-11T11:06:35Z
5109188055,48.782744,-123.69421,2021-05-09T15:13:10.242Z
5109188003,44.721561,-123.918082,2021-05-08T16:33:49Z
5109136736,47.455821,-121.751738,2020-06-21T00:13:21.491Z
5070130371,41.146763,-73.494844,2009-09-21
5063335086,47.686871,-122.302309,2023-07-23T13:59
5007006333,34.126189,-118.271503,2021-10-06T10:00:59
4993778751,31.805818,-116.59167,2024-12-02T12:27:34
4982249435,49.05232,-119.518387,2024-07-17T09:22
4981895846,34.074058,-118.455025,2022-04-14T14:23
4978290131,49.052315,-119.51844,2024-07-17T09:21
4975988530,37.035965,-112.5539134,2006-06-06
4955674876,30.43833,-84.28083,1951-05-05
4952927296,49.052261,-119.518412,2024-08-11T12:51
4952608031,34.243183,-117.761553,2024-06-15T10:05:12
4952354953,49.59566,-119.56721,2024-08-10T13:18
4946980817,38.536306,-121.772028,1965-05-22
4946402600,42.918735,-85.674607,2021-08-08T15:50:42
4946274189,42.923997,-85.672972,2021-08-06T19:51:13
4945457488,38.53632,-121.744333,2000-09-30
4936677716,46.097076,-64.6819,2024-06-30T18:15:48
4936162210,34.156556,-118.292829,2022-07-10T09:10
4929745048,27.633333,-113.033333,1995-09-01
4921560087,43.137243,-76.133529,2022-09-03T10:24:17
4920432058,37.02277,-94.38722,2000-09-12
4912222076,40.28351,-111.60986,1984-08-25
4909737563,47.641667,-122.303333,2008-10-31
4909432345,49.23692,-122.75391,2019-07-29
4908650581,39.938039,-95.785893,2020-08-03T11:26:03
4908506550,38.51628,-122.860625,2020-06-26T18:52
4905168439,33.64154,-117.88349,2006-08-07
4872591268,45.349918,-123.070213,2024-05-26T13:18:22
4872082451,24.764382,-107.461491,2024-05-27T08:34:36
4872024097,24.795288,-99.530205,2024-04-15T12:39:08
4857128555,37.83972,-120.33806,1895-06-03
4857073315,37.993889,-122.356667,2005-03-24
4856963964,34.2427584,-117.7600009,
4856921638,37.74883,-119.59124,2010-07-01
4856552005,38.0343819,-120.402075,2008-07-02
4856497106,33.99542,-119.7155,1969-09-30
4851248368,45.715,-121.46333,1895-07-08
4851248367,46.205,-116.96528,1928-07-05
4851234936,45.52361,-122.675,1911-09-02
4851234935,46.205,-116.96528,1979-06-21
4851184714,46.36977,-119.272625,1994-05-03
4851150550,45.715,-121.46333,1903-06-25
4851150549,45.72778,-121.48528,1983-07-04
4851150548,46.180184,-117.04722,1959-06-10
4851138203,44.94306,-123.03389,1916-09-24
4535578340,40.743612,-73.352317,2019-06-30T19:30:34
4512038256,45.619153,-122.267853,2023-08-20T16:32:45
4458598346,38.148361,-121.292632,2009-11-26T12:18
4453746623,37.580996,-122.34494,2023-11-23T11:05:06
4430531141,49.05227,-119.518441,2023-10-11T13:44:43
441863738,47.641667,-122.303333,2008-10-31
441863736,47.641667,-122.303333,2008-10-31
441863708,45.7,-121.403333,2007-08-19
441863505,45.165,-123.305,2005-08-27
441863005,48.6,-123.033333,2002-05-05
441862946,46.156964,-117.032728,1959-06-10
4414371170,42.775886,-73.938002,2023-09-04T17:18:55
4413941423,45.552842,-122.659592,2023-09-01T12:57:23
4413516708,34.048796,-119.558335,2023-08-01T10:08:20
4413459461,44.571453,-123.267377,2021-09-27T13:05
4413440674,34.472075,-117.671134,2023-06-03T18:07:18
4407562169,38.866559,-121.025527,2023-09-03
4407281959,46.256431,-119.286742,2023-07-26T17:25:05
4405238760,45.404805,-122.770598,2023-08-22T16:22:27
4404913149,45.726019,-121.477424,1983-07-04
4404909898,27.633333,-113.033333,1995-09-01
4404898856,36.439263,-115.356097,2013-06-19
4400165348,34.158005,-117.935889,2021-03-27T09:44:23
4171464213,44.480103,-79.47168,2023-08-05T15:31:14
4171256893,34.420831,-119.69819,2023-06-21T15:06
4165689682,34.63623,-120.057732,2023-07-23T08:52:10
4126314094,36.8635,-119.7298,1994-07-17
4126314076,38.145274,-121.218924,2018-04-13
4120966744,38.588979,-121.356185,2023-05-17T07:10:37
4120859314,49.085912,-119.529333,2023-05-18T12:12:14
4079081908,37.520278,-120.851667,2019-04-23
4079081906,37.520278,-120.851667,2019-04-23
4079081905,37.520278,-120.851667,2019-04-23
4079081904,37.520278,-120.851667,2019-04-23
4079081397,36.8635,-119.7298,1994-07-17
4079078764,37.583175,-120.88278,2019-04-23
4079078759,37.583175,-120.88278,2019-04-23
4079078758,37.583175,-120.88278,2019-04-23
4079078756,37.583175,-120.88278,2019-04-23
4079076731,38.145274,-121.218924,2018-04-13
4079076729,38.144149,-121.219095,2018-04-13
4073904774,46.017447,-116.730568,1994-08-09
4073858134,47.658591,-122.295181,2016-08-21
4073771293,46.522063,-116.735972,1976-06-11
4069861033,45.715,-121.46333,1895-07-08
4069850797,45.52361,-122.675,1911-09-02
4069775984,46.205,-116.96528,1979-06-21
4069770624,45.715,-121.46333,1903-06-25
4069705372,44.94306,-123.03389,1916-09-24
4069699470,45.72778,-121.48528,1983-07-04
4069698865,46.205,-116.96528,1928-07-05
4069687210,46.180184,-117.04722,1959-06-10
4067770072,40.141776,-75.209065,1948-10-03
4067770071,40.601184,-75.490183,1971-07-16
4067770070,40.594995,-75.471675,1971-08-26
4061115250,38.58504,-90.40694,2019-01-24
4018143448,37.41122,-122.23598,2021-09-06T09:15
3999107476,38.301858,-122.280502,2022-08-22T21:52:38.701Z
3999050432,33.540192,-115.994847,2022-10-29T15:55:35.874Z
3998963271,38.558446,-122.542249,2022-10-14T18:27:04.794Z
3998901441,35.729165,-120.704536,2022-08-21T17:31:08.997Z
3998748616,33.582097,-117.625731,2022-05-15T23:51:34.330Z
3998573770,37.650055,-121.703054,2022-10-13T17:49:59.733Z
3998361161,37.658246,-121.852615,2022-08-07T21:52:29.628Z
3998119675,39.533739,-123.493731,2022-08-28T01:48:32.389Z
3998101012,39.190167,-123.213722,2022-08-29T18:45:03.497Z
3998053127,37.748805,-121.955219,2022-05-08T01:01:05.726Z
3997805276,49.251771,-123.064456,2022-10-08T18:06:02Z
3969681943,30.166883,-96.397744,1937-05-23
3960324660,38.178169,-122.265804,2022-06-21T15:15:28.617Z
