gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
668805576	2fd02649-fc08-4957-9ac5-2830e072c097	QFA0027205	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vinifera		SPECIES	Vitis vinifera L.	Vitis vinifera Linnaeus	Linnaeus	CA	Québec.	Québec	PRESENT		b52e9a80-8cb7-4d37-9324-46032fd69237	46.813056	-71.203056							1933-05-01/1933-05-31		5	1933	5372392	5372392	PRESERVED_SPECIMEN	Université Laval	QFA	QFA0027205	nd	Baillargeon, Guy	1979-09-10T00:00:00	CC0_1_0	Université Laval	Louis-Marie, père; Vandal, J.			2025-02-06T18:33:31.240Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
5154205102	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/279900957	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vinifera		SPECIES	Vitis vinifera L.	Vitis vinifera		CA		British Columbia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	49.014835	-119.458435	5.0						2025-05-07T13:07	7	5	2025	5372392	5372392	HUMAN_OBSERVATION	iNaturalist	Observations	279900957		John D Reynolds	2025-05-10T10:15:44	CC_BY_4_0	John D Reynolds	John D Reynolds			2025-05-16T20:34:35.104Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5153700020	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/279899718	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vinifera		SPECIES	Vitis vinifera L.	Vitis vinifera		CA		British Columbia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	49.019375	-119.443275	5.0						2025-05-07T12:14	7	5	2025	5372392	5372392	HUMAN_OBSERVATION	iNaturalist	Observations	279899718		John D Reynolds	2025-05-10T10:06:23	CC_BY_4_0	John D Reynolds	John D Reynolds			2025-05-16T21:43:30.754Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5153556938	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/279895470	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vinifera		SPECIES	Vitis vinifera L.	Vitis vinifera		CA		British Columbia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	49.014992	-119.454239	5.0						2025-05-07T11:09	7	5	2025	5372392	5372392	HUMAN_OBSERVATION	iNaturalist	Observations	279895470		John D Reynolds	2025-05-10T09:38:51	CC_BY_4_0	John D Reynolds	John D Reynolds			2025-05-16T22:00:39.704Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5153378183	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/277066204	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vinifera		SPECIES	Vitis vinifera L.	Vitis vinifera		MX		Sinaloa	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	24.758775	-107.463869	31.0						2025-04-25T15:36	25	4	2025	5372392	5372392	HUMAN_OBSERVATION	iNaturalist	Observations	277066204		marthajudithosunablancas	2025-04-30T17:01:17	CC_BY_NC_4_0	marthajudithosunablancas	marthajudithosunablancas			2025-05-16T20:31:51.275Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5140518487	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/274313004	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vinifera		SPECIES	Vitis vinifera L.	Vitis vinifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.666894	-117.84299	403.0						2025-04-26T09:20	26	4	2025	5372392	5372392	HUMAN_OBSERVATION	iNaturalist	Observations	274313004		Sean	2025-04-27T01:48:21	CC_BY_NC_4_0	Sean	Sean			2025-05-16T20:35:02.402Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5110425499	7a3679ef-5582-4aaa-81f0-8c2545cafc81	o-1024717692	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vinifera		SPECIES	Vitis vinifera L.	Vitis vinifera L.	L.	CA			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	43.224281	-79.171533	35.0		88.24	0.0			2024-09-22T16:20:58.588Z	22	9	2024	5372392	5372392	HUMAN_OBSERVATION							CC_BY_4_0					2025-04-16T13:43:30.712Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
5110409377	7a3679ef-5582-4aaa-81f0-8c2545cafc81	o-1024720108	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vinifera		SPECIES	Vitis vinifera L.	Vitis vinifera L.	L.	CA			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	43.211375	-79.135047	35.0		96.69	0.0			2024-09-22T19:03:36.356Z	22	9	2024	5372392	5372392	HUMAN_OBSERVATION							CC_BY_4_0					2025-04-16T13:45:27.632Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
5110406992	7a3679ef-5582-4aaa-81f0-8c2545cafc81	o-1023689309	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vinifera		SPECIES	Vitis vinifera L.	Vitis vinifera L.	L.	US			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	38.428794	-122.556183	17.0		146.4	0.0			2024-07-18T15:23:17Z	18	7	2024	5372392	5372392	HUMAN_OBSERVATION							CC_BY_4_0					2025-04-16T13:43:35.101Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
5110285214	7a3679ef-5582-4aaa-81f0-8c2545cafc81	o-1022920889	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis	Vitis vinifera		SPECIES	Vitis vinifera L.	Vitis vinifera L.	L.	US			PRESENT	1	da86174a-a605-43a4-a5e8-53d484152cd3	33.967998	-117.678402	15.0		146.3	0.0			2024-06-08T09:58:26Z	8	6	2024	5372392	5372392	HUMAN_OBSERVATION							CC_BY_4_0					2025-04-16T13:41:56.344Z	StillImage	COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
