gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
91635772	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Cannabaceae	Humulus	Humulus lupulus		SPECIES	Humulus lupulus L.	Humulus lupulus		US	Just above the floodplain of Belt Creek		PRESENT		9ae75ccd-0ee8-4dd4-a412-3bbcc3ed4b26	47.41667	-110.91667											2984535	2984535	OCCURRENCE	USA026	USA026	1454236				CC_BY_4_0					2025-05-23T17:58:35.778Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
91635769	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Cannabaceae	Humulus	Humulus lupulus		SPECIES	Humulus lupulus L.	Humulus lupulus		US	Along both sides of river up Logan Canyon		PRESENT		9ae75ccd-0ee8-4dd4-a412-3bbcc3ed4b26	41.8	-111.83333											2984535	2984535	OCCURRENCE	USA026	USA026	1454235				CC_BY_4_0					2025-05-23T17:58:35.777Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
91635768	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Cannabaceae	Humulus	Humulus lupulus		SPECIES	Humulus lupulus L.	Humulus lupulus		US	Along both sides of river up Logan Canyon		PRESENT		9ae75ccd-0ee8-4dd4-a412-3bbcc3ed4b26	41.8	-111.83333											2984535	2984535	OCCURRENCE	USA026	USA026	1454234				CC_BY_4_0					2025-05-23T17:58:34.462Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
91635766	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Cannabaceae	Humulus	Humulus lupulus		SPECIES	Humulus lupulus L.	Humulus lupulus		US	Pena Blanco, NM		PRESENT		9ae75ccd-0ee8-4dd4-a412-3bbcc3ed4b26	34.5	-106.0											2984535	2984535	OCCURRENCE	USA026	USA026	1454233				CC_BY_4_0					2025-05-23T17:58:13.967Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
91635764	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Cannabaceae	Humulus	Humulus lupulus		SPECIES	Humulus lupulus L.	Humulus lupulus		US	Just above the floodplain of Belt Creek		PRESENT		9ae75ccd-0ee8-4dd4-a412-3bbcc3ed4b26	47.41667	-110.91667											2984535	2984535	OCCURRENCE	USA026	USA026	1454232				CC_BY_4_0					2025-05-23T17:58:12.545Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
91635761	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Cannabaceae	Humulus	Humulus lupulus		SPECIES	Humulus lupulus L.	Humulus lupulus		US	Just above the floodplain of Belt Creek		PRESENT		9ae75ccd-0ee8-4dd4-a412-3bbcc3ed4b26	47.41667	-110.91667											2984535	2984535	OCCURRENCE	USA026	USA026	1454231				CC_BY_4_0					2025-05-23T17:57:47.727Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
91635755	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Cannabaceae	Humulus	Humulus lupulus		SPECIES	Humulus lupulus L.	Humulus lupulus		US	Belt Creek, 2.4 mi N of Belt, Montana, near Ewing Road		PRESENT		9ae75ccd-0ee8-4dd4-a412-3bbcc3ed4b26	47.41667	-110.91667											2984535	2984535	OCCURRENCE	USA026	USA026	1454229				CC_BY_4_0					2025-05-23T17:57:47.817Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
91635753	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Cannabaceae	Humulus	Humulus lupulus		SPECIES	Humulus lupulus L.	Humulus lupulus		US	Belt Creek, 2.4 mi N of Belt, Montana, near Ewing Road		PRESENT		9ae75ccd-0ee8-4dd4-a412-3bbcc3ed4b26	47.41667	-110.91667											2984535	2984535	OCCURRENCE	USA026	USA026	1454228				CC_BY_4_0					2025-05-23T17:57:23.549Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
91635751	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Cannabaceae	Humulus	Humulus lupulus		SPECIES	Humulus lupulus L.	Humulus lupulus		US	Millville, Iowa, 1 mi E-SE of Minot, ND, S. bank of Souris		PRESENT		9ae75ccd-0ee8-4dd4-a412-3bbcc3ed4b26	42.75	-91.16667											2984535	2984535	OCCURRENCE	USA026	USA026	1454227				CC_BY_4_0					2025-05-23T17:57:22.437Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
91635748	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Cannabaceae	Humulus	Humulus lupulus		SPECIES	Humulus lupulus L.	Humulus lupulus		US	Just above the flood plain of Belt Creek		PRESENT		9ae75ccd-0ee8-4dd4-a412-3bbcc3ed4b26	47.41667	-110.91667											2984535	2984535	OCCURRENCE	USA026	USA026	1454225				CC_BY_4_0					2025-05-23T17:57:22.437Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
91635745	85802736-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Rosales	Cannabaceae	Humulus	Humulus lupulus		SPECIES	Humulus lupulus L.	Humulus lupulus		US	Minot, along Souris River, associated with trees		PRESENT		9ae75ccd-0ee8-4dd4-a412-3bbcc3ed4b26	48.25	-101.25											2984535	2984535	OCCURRENCE	USA026	USA026	1454224				CC_BY_4_0					2025-05-23T17:58:50.398Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
