gbifID,decimalLatitude,decimalLongitude,eventDate
91635772,47.41667,-110.91667,
91635769,41.8,-111.83333,
91635768,41.8,-111.83333,
91635766,34.5,-106.0,
91635764,47.41667,-110.91667,
91635761,47.41667,-110.91667,
91635755,47.41667,-110.91667,
91635753,47.41667,-110.91667,
91635751,42.75,-91.16667,
91635748,47.41667,-110.91667,
91635745,48.25,-101.25,
91635744,40.16667,-95.5,
91635742,47.41806,-110.92417,
91635741,48.25,-101.25,
91635740,48.25,-101.25,
91635738,48.25,-101.25,
91635737,48.25,-101.25,
91635736,42.75,-91.16667,
91635735,42.75,-91.16667,
91635734,40.16667,-95.5,
91635730,41.8,-111.83333,
91635728,41.8,-111.83333,
91635727,47.41667,-110.91667,
91635726,47.41667,-110.91667,
91635725,47.41667,-110.91667,
91635723,47.41667,-110.91667,
91635722,47.41667,-110.91667,
91635721,47.41667,-110.91667,
91635720,47.41667,-110.91667,
91635719,47.41667,-110.91667,
91635718,47.41806,-110.92417,
91635716,47.41806,-110.92417,
91635715,47.41806,-110.92417,
91635714,47.41806,-110.92417,
91635712,48.25,-101.25,
91635711,48.25,-101.25,
91635710,48.25,-101.25,
91635709,48.25,-101.25,
91635708,42.75,-91.16667,
91635707,42.75,-91.16667,
91635703,42.75,-91.16667,
91635701,42.75,-91.16667,
91635699,40.16667,-95.5,
91635698,40.01667,-95.5,
91635695,40.33333,-95.75,
91635692,40.33333,-95.75,
91635690,40.33333,-95.75,
91635687,47.41806,-110.92417,
91635685,47.41806,-110.92417,
91635682,48.25,-101.25,
91635679,48.25,-101.25,
91635677,48.25,-101.25,
91635676,42.75,-91.16667,
91635674,42.75,-91.16667,
91635672,42.75,-91.16667,
91635670,42.75,-91.16667,
91635667,40.16667,-95.5,
91635664,40.01667,-95.5,
91635661,40.01667,-95.5,
91635660,40.33333,-95.75,
91635656,40.33333,-95.75,
91635655,40.33333,-95.75,
91635196,42.70806,-91.07528,
91634521,40.54056,-105.27944,
91634475,39.22139,-104.88611,
91634474,39.22139,-104.88611,
883388131,53.716667,-113.2,1943-08-20
883387999,49.2721,-100.993,1951-07-24
883387803,50.766667,-100.236667,1979-08-22
883387764,49.076749,-102.750942,1986-08-26
883387746,42.8353,-80.177,1952-08-01
883375682,48.64641,-94.07543,2003-09-11
859260835,38.8377,-78.5059,1969-09-10
859260831,38.691682,-100.925426,1964-07-31
859260828,39.72567,-94.99947,1965-05-27
859260826,38.4039,-96.18166,1950
859260825,38.05491,-95.59759,1968-09-14
859260823,38.6339,-95.82582,1963-09-22
859260822,38.6339,-95.82582,1963-09-22
859260819,38.05491,-95.59759,1968-09-14
859260818,38.54038,-95.98652,1960-09-29
859260816,38.51946,-95.9586,1972-09-26
